place,author,rating,review
Bishan ActiveSG Gym,elayna chin,5 étoiles,La salle de sport spacieuse équipée de nombreuses machines d'entraînement a tendance à être bondée aux heures de pointe car elle se trouve à un échangeur. …
Bishan ActiveSG Gym,Jerry Yao,4 étoiles,"Un peu de monde le dimanche après-midi. Mais dans l’ensemble, tout va bien et vous pouvez toujours utiliser certains des équipements clés. On dirait qu’il existe ici aussi une bonne culture du partage d’équipement."
Bishan ActiveSG Gym,Darren Lim,4 étoiles,"2,5 $ par entrée.

1x support de squat et 1x banc. Pas de plate-forme de soulevé de terre et une …"
Revolution Orchard,,4 étoiles,
Revolution Orchard,,1 étoile,
Revolution Orchard,,1 étoile,
Barry’s - Raffles Place,,5 étoiles,
Barry’s - Raffles Place,,1 étoile,
Barry’s - Raffles Place,,1 étoile,
Yoga Movement Serangoon Gardens,,4 étoiles,
Yoga Movement Serangoon Gardens,,2 étoiles,
Yoga Movement Serangoon Gardens,,5 étoiles,
PURE Yoga Asia Square Tower 1,,5 étoiles,
PURE Yoga Asia Square Tower 1,,5 étoiles,
PURE Yoga Asia Square Tower 1,,5 étoiles,
Gold's Gym Personal Training - Crane Road,,3 étoiles,
The Executive Centre - Ocean Financial Centre,,2 étoiles,
The Executive Centre - Ocean Financial Centre,,1 étoile,
The Executive Centre - Ocean Financial Centre,,5 étoiles,
UClub Bugis Junction Co-working Space Singapore,,5 étoiles,
UClub Bugis Junction Co-working Space Singapore,,3 étoiles,
UClub Bugis Junction Co-working Space Singapore,,5 étoiles,
Workbuddy,Shujaat Ali,5 étoiles,workbuddy a changé la donne pour moi ! J'utilise l'application workbuddy depuis deux ans et l'expérience a été tout simplement incroyable. …
Workbuddy,Karan Monga,5 étoiles,"Passer des cafés aux espaces de travail entre collègues a fait une énorme différence dans ma productivité. L'environnement calme et professionnel est parfait pour aborder des projets privés sans distractions. De plus, le Wi-Fi rapide, les …"
Workbuddy,Mohan Belani,5 étoiles,L'équipe de Workbuddy est composée d'un groupe de personnes dévouées et travailleuses qui feront tout leur possible pour garantir que les membres sont bien soutenus et que leurs besoins sont satisfaits. Ils disposent d'un grand choix d'espaces qui font du travail flexible un rêve.
The Working Capitol,,5 étoiles,
The Working Capitol,,5 étoiles,
The Working Capitol,,5 étoiles,
JustCo – 120 Robinson Road Coworking & Office Space,,2 étoiles,
JustCo – 120 Robinson Road Coworking & Office Space,,5 étoiles,
JustCo – 120 Robinson Road Coworking & Office Space,,5 étoiles,
One&Co,,5 étoiles,
One&Co,,5 étoiles,
One&Co,,5 étoiles,
the Hive Carpenter,,5 étoiles,
the Hive Carpenter,,5 étoiles,
the Hive Carpenter,,5 étoiles,
WeWork - Office Space & Coworking,Yitch (Yitch),4 étoiles,"Trop de portes. Mais la bière coûte 10 à 10, donc c'est un plus.

Le garde-manger au niveau 5 offre une belle vue pour le déjeuner. Les toilettes …"
WeWork - Office Space & Coworking,Lee Mun Tai,2 étoiles,"Espace commun agréable et spacieux, mais places assises plutôt limitées. Le garde-manger était très décevant, avec de nombreux appareils hors service et c'est sale. Des taches de lait et de café, certaines coulant même sur les portes du refroidisseur."
WeWork - Office Space & Coworking,xinlin tan,1 étoile,Sérieusement dégoûtant. Les toilettes sont humides et sales et la poubelle déborde constamment. Les tasses ne sont pas correctement lavées. J'ai pris quelques tasses sur l'étagère du garde-manger aujourd'hui et l'une avait des taches de …
Vertical Space,,5 étoiles,
Vertical Space,,1 étoile,
Vertical Space,,5 étoiles,
O2Work,Allison Saradetch,3 étoiles,"C'est formidable de venir travailler près de chez moi. Profitez du calme et de la climatisation, surtout pendant cette période chaude et humide ! L'endroit est agréable et aéré et beaucoup de lumière naturelle entre puisque les murs sont …"
library@chinatown,,4 étoiles,
library@chinatown,,4 étoiles,
library@chinatown,,3 étoiles,
library@harbourfront,,5 étoiles,
library@harbourfront,,4 étoiles,
library@harbourfront,,5 étoiles,
Toa Payoh Public Library,,5 étoiles,
Toa Payoh Public Library,,5 étoiles,
Toa Payoh Public Library,,5 étoiles,
Ang Mo Kio Public Library,,5 étoiles,
Ang Mo Kio Public Library,,4 étoiles,
Ang Mo Kio Public Library,,5 étoiles,
Clementi Public Library,,5 étoiles,
Clementi Public Library,,3 étoiles,
Clementi Public Library,,4 étoiles,
Serangoon Public Library,,4 étoiles,
Serangoon Public Library,,5 étoiles,
Serangoon Public Library,,2 étoiles,
Yishun Public Library,,5 étoiles,
Yishun Public Library,,1 étoile,
Yishun Public Library,,3 étoiles,
Pasir Ris Public Library,,4 étoiles,
Pasir Ris Public Library,,4 étoiles,
Pasir Ris Public Library,,4 étoiles,
Geylang East Public Library,,5 étoiles,
Geylang East Public Library,,5 étoiles,
Geylang East Public Library,,5 étoiles,
Sembawang Public Library,,5 étoiles,
Sembawang Public Library,,1 étoile,
Sembawang Public Library,,1 étoile,
